task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
23	62/f9b88e	63136	NFCORE_MOLECULARDOCKING:MOLECULARDOCKING:DOCKING:MOLECULARDOCKING_DOCK (cox2_indomethacin)	COMPLETED	0	2026-01-22 07:39:15.479	2m 4s	2m 3s	396.3%	416.1 MB	638.8 MB	920.5 KB	30.3 KB
26	da/5421da	63476	NFCORE_MOLECULARDOCKING:MOLECULARDOCKING:DOCKING:MOLECULARDOCKING_DOCK (cox2_ibuprofen)	COMPLETED	0	2026-01-22 07:41:19.170	41.7s	40.7s	399.3%	385.9 MB	609.2 MB	919.5 KB	22.1 KB
25	e1/aedef5	63352	NFCORE_MOLECULARDOCKING:MOLECULARDOCKING:DOCKING:MOLECULARDOCKING_DOCK (cox2_celecoxib)	COMPLETED	0	2026-01-22 07:40:28.931	1m 35s	1m 34s	384.9%	445.2 MB	668.4 MB	920.4 KB	17.3 KB
28	1d/d87ce3	63629	NFCORE_MOLECULARDOCKING:MOLECULARDOCKING:DOCKING:MOLECULARDOCKING_DOCK (cox2_naproxen)	COMPLETED	0	2026-01-22 07:42:04.368	47.3s	46.2s	404.5%	385.9 MB	609.2 MB	919.7 KB	23.4 KB
27	22/cb2c3c	63583	NFCORE_MOLECULARDOCKING:MOLECULARDOCKING:DOCKING:MOLECULARDOCKING_DOCK (cox2_ketoprofen)	COMPLETED	0	2026-01-22 07:42:00.869	58.1s	57.2s	408.4%	386.5 MB	609.9 MB	919.9 KB	25.2 KB
29	9c/11ed81	63760	NFCORE_MOLECULARDOCKING:MOLECULARDOCKING:DOCKING:MOLECULARDOCKING_DOCK (hiv_caffeine)	COMPLETED	0	2026-01-22 07:42:51.632	21.8s	20.9s	294.7%	202.3 MB	426.2 MB	211 KB	19.2 KB
31	76/660ba6	63877	NFCORE_MOLECULARDOCKING:MOLECULARDOCKING:DOCKING:MOLECULARDOCKING_PARSE (cox2_diclofenac)	COMPLETED	0	2026-01-22 07:43:13.475	1.1s	0ms	63.2%	7.9 MB	12.2 MB	493.5 KB	1.3 KB
32	8a/b5ef77	63883	NFCORE_MOLECULARDOCKING:MOLECULARDOCKING:DOCKING:MOLECULARDOCKING_PARSE (cox2_piroxicam)	COMPLETED	0	2026-01-22 07:43:13.505	1.1s	0ms	60.2%	7.2 MB	11.1 MB	493.5 KB	1.3 KB
33	a4/b11f21	63935	NFCORE_MOLECULARDOCKING:MOLECULARDOCKING:DOCKING:MOLECULARDOCKING_PARSE (cox2_aspirin)	COMPLETED	0	2026-01-22 07:43:14.579	1.1s	0ms	75.3%	7.4 MB	11.1 MB	493.4 KB	1.3 KB
34	fd/0c9c06	63944	NFCORE_MOLECULARDOCKING:MOLECULARDOCKING:DOCKING:MOLECULARDOCKING_PARSE (cox2_indomethacin)	COMPLETED	0	2026-01-22 07:43:14.625	1.1s	0ms	78.9%	8.8 MB	12.5 MB	493.5 KB	1.4 KB
35	c3/90b6aa	63995	NFCORE_MOLECULARDOCKING:MOLECULARDOCKING:DOCKING:MOLECULARDOCKING_PARSE (cox2_ibuprofen)	COMPLETED	0	2026-01-22 07:43:15.699	1.1s	0ms	60.9%	7.1 MB	11.1 MB	493.5 KB	1.3 KB
36	94/1c5d6e	64006	NFCORE_MOLECULARDOCKING:MOLECULARDOCKING:DOCKING:MOLECULARDOCKING_PARSE (cox2_celecoxib)	COMPLETED	0	2026-01-22 07:43:15.754	1.1s	0ms	71.8%	7.5 MB	12.1 MB	493.3 KB	985 B
37	9b/4872f3	64058	NFCORE_MOLECULARDOCKING:MOLECULARDOCKING:DOCKING:MOLECULARDOCKING_PARSE (cox2_naproxen)	COMPLETED	0	2026-01-22 07:43:16.815	1.3s	0ms	93.3%	7.9 MB	12.2 MB	493.5 KB	1.3 KB
38	0b/28be51	64067	NFCORE_MOLECULARDOCKING:MOLECULARDOCKING:DOCKING:MOLECULARDOCKING_PARSE (cox2_ketoprofen)	COMPLETED	0	2026-01-22 07:43:16.855	1.3s	0ms	103.7%	8 MB	12.2 MB	493.5 KB	1.3 KB
39	c6/b745c4	64120	NFCORE_MOLECULARDOCKING:MOLECULARDOCKING:DOCKING:MOLECULARDOCKING_PARSE (hiv_caffeine)	COMPLETED	0	2026-01-22 07:43:18.107	992ms	0ms	153.8%	7.6 MB	12.1 MB	493.4 KB	1.3 KB
30	6e/840c83	63816	NFCORE_MOLECULARDOCKING:MOLECULARDOCKING:DOCKING:MOLECULARDOCKING_DOCK (esr_acetaminophen)	COMPLETED	0	2026-01-22 07:42:58.975	24.1s	23s	394.4%	451.8 MB	675.5 MB	1.1 MB	18.8 KB
40	75/484fb9	64172	NFCORE_MOLECULARDOCKING:MOLECULARDOCKING:DOCKING:MOLECULARDOCKING_PARSE (esr_acetaminophen)	COMPLETED	0	2026-01-22 07:43:23.098	702ms	0ms	119.1%	7.4 MB	11.1 MB	493.5 KB	1.4 KB
41	21/55118f	64204	NFCORE_MOLECULARDOCKING:MOLECULARDOCKING:DOCKING:SCORE_AGGREGATE (aggregate)	COMPLETED	0	2026-01-22 07:43:23.822	778ms	0ms	81.6%	7.2 MB	11.1 MB	547.1 KB	4.1 KB
42	2b/51fa65	64251	NFCORE_MOLECULARDOCKING:MOLECULARDOCKING:MULTIQC	COMPLETED	0	2026-01-22 07:43:24.651	7.4s	6.7s	131.6%	773.4 MB	14.1 GB	114.2 MB	18.1 MB
